ticker,index,name
CYTR,RUSSELL2000,Cytrx Corp
CZNC,RUSSELL2000,Citizens & Northern Corp
CZR,RUSSELL2000,Caesars Entertainment Corporati
D,SP500,
DAKT,RUSSELL2000,Daktronics
DAN,RUSSELL2000,Dana Holding Corp
DAR,RUSSELL2000,Darling International Inc
DBD,RUSSELL2000,Diebold Inc
DCO,RUSSELL2000,Ducommun Inc
DCOM,RUSSELL2000,Dime Community Bancshares
DCT,RUSSELL2000,Dct Industrial Trust Inc
DD,SP500,
DE,SP500,
DEA,RUSSELL2000,Easterly Government Properties
DECK,RUSSELL2000,Deckers Outdoor Corp
DEL,RUSSELL2000,Deltic Timber Corp
DELL,SP500,
DENN,RUSSELL2000,Denny's Corp
DEPO,RUSSELL2000,Depomed Inc
DERM,RUSSELL2000,Dermira Inc
DF,BOTH,Dean Foods Company
DFRG,RUSSELL2000,Del Frisco's Restaurant Group Llc
DFS,SP500,
DFT,RUSSELL2000,Dupont Fabros Technology
DGI,RUSSELL2000,Digitalglobe Inc
DGICA,RUSSELL2000,Donegal Group
DGII,RUSSELL2000,Digi International Inc
DGX,SP500,
DHI,SP500,
DHIL,RUSSELL2000,Diamond Hill Investment Group
DHR,SP500,
DHT,RUSSELL2000,Dht Holdings
DHX,RUSSELL2000,Dice Holdings
DIN,RUSSELL2000,Dineequity Inc
DIOD,RUSSELL2000,Diodes Inc
DIS,SP500,
DISCA,SP500,
DJCO,RUSSELL2000,Daily Journal Corp. [S.C.]
DK,RUSSELL2000,Delek US Holdings
DLTR,SP500,
DLX,RUSSELL2000,Deluxe Corp
DMND,RUSSELL2000,Diamond Foods
DMRC,RUSSELL2000,Digimarc Corp
DNB,SP500,
DNR,SP500,
DO,SP500,
DOC,RUSSELL2000,Physicians Realty Trust
DOOR,RUSSELL2000,Masonite Wrldwde Hld
DORM,RUSSELL2000,Dorman Products
DOV,SP500,
DOW,SP500,
DPLO,RUSSELL2000,Dplo
DPS,SP500,
DRH,RUSSELL2000,Diamondrock Hospitality Company
DRI,SP500,
DRII,RUSSELL2000,Diamond Resorts International
DRNA,RUSSELL2000,Dicerna Pharmaceuticals Inc
DRRX,RUSSELL2000,Durect Corp
DSPG,RUSSELL2000,DSP Group
DTE,SP500,
DTLK,RUSSELL2000,Datalink Corp
DTSI,RUSSELL2000,DTS Inc
DTV,SP500,
DUK,SP500,
DV,BOTH,Devry Inc
DVA,SP500,
DVAX,RUSSELL2000,Dynavax Technologies Corp
DVN,SP500,
DW,RUSSELL2000,Drew Industries Inc
DWA,RUSSELL2000,Dreamworks Animation Skg
DWRE,RUSSELL2000,Demandware Inc
DX,RUSSELL2000,Dynex Capital
DXLG,RUSSELL2000,Destination XL Inc.
DXPE,RUSSELL2000,Dxp Enterprises
DY,RUSSELL2000,Dycom Industries
DYAX,RUSSELL2000,Dyax Corp
DYN,RUSSELL2000,Dynegy Inc
EA,SP500,
EBAY,SP500,
EBF,RUSSELL2000,Ennis Inc
EBIX,RUSSELL2000,Ebix Inc
EBS,RUSSELL2000,Emergent Biosolutions
